Id_muestreo,Id_muestreo_no_dc,Fecha,Pc_start,Species_ayerbe,Count
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Quiscalus lugubris,5
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Campylorhynchus nuchalis,7
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Columbina minuta,2
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Columbina talpacoti,2
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Myiarchus tyrannulus,3
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Troglodytes aedon,3
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Crotophaga major,2
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Elaenia flavogaster,2
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Buteogallus meridionalis,2
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Campylorhynchus griseus,2
C-MB-CS-CA_01,MB-CS-CA_01,2016-10-17,06:33:00,Caracara cheriway,3
